event_time,site_cam,session,path,modality,event_type,sensor_id,confidence,is_timelapse
2025-06-30 12:18:02,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630121802_0022.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:18:02,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630121802_0023.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:18:03,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630121803_0024.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:19:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630121901_0026.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:19:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630121901_0027.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:19:02,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630121902_0028.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:20:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630122001_0030.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:20:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630122001_0031.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:20:02,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630122002_0032.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:21:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630122101_0034.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:21:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630122101_0035.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:21:02,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630122102_0036.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:22:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630122201_0039.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:22:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630122201_0038.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:22:02,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630122202_0040.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:23:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630122301_0042.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:23:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630122301_0043.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:23:02,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630122302_0044.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:24:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630122401_0046.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:24:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630122401_0047.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:24:02,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630122402_0048.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:25:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630122501_0050.JPG,camera,camera_image,TW01-CT02,,False
