policy,total_events,processed_events,skipped_events,coverage,mean_latency_ms,p95_latency_ms,max_latency_ms,compute_cost_ms,compute_cost_sec,mean_queue_length,peak_queue_length,slo_ms,slo_compliance,classification_trigger_rate,stress_factor
adaptive,15191,15160,31,0.997959318017247,11842.572546174146,497.0,1505542.5,2988360.3,2988.3603,2.966820580474934,234,5000.0,0.9844986807387863,0.9823878627968338,1.0
event_triggered,15191,15024,167,0.9890066486735567,9055.084791001063,253.79999999999998,1314967.5,2074083.3000000003,2074.0833000000002,2.569954739084132,206,5000.0,0.9862220447284346,0.2036741214057508,1.0
process_all,15191,15191,0,1.0,22988.22739121849,497.0,2096325.0,3595376.3999999994,3595.3763999999996,4.76439997366862,331,5000.0,0.9781449542492265,1.0,1.0
adaptive,15191,15160,31,0.997959318017247,19832.707836411613,497.0,1505542.5,2984104.3,2984.1043,6.175065963060686,390,5000.0,0.9742084432717678,0.9777704485488127,2.0
event_triggered,15191,15024,167,0.9890066486735567,15170.142066027687,253.79999999999998,1314967.5,2074083.3000000003,2074.0833000000002,5.024094781682641,341,5000.0,0.9772364217252396,0.2036741214057508,2.0
process_all,15191,15191,0,1.0,38328.21623987887,497.0,2096325.0,3595376.3999999994,3595.3763999999996,11.101309986176025,550,5000.0,0.9637285234678428,1.0,2.0
adaptive,15191,15160,31,0.997959318017247,43624.41872031662,197513.86,1505542.5,2960574.6999999997,2960.5746999999997,26.687335092348285,864,5000.0,0.9429419525065963,0.9522427440633245,5.0
event_triggered,15191,15024,167,0.9890066486735567,33323.881236687965,6658.619999999978,1314967.5,2074083.3000000003,2074.0833000000002,20.63145633652822,752,5000.0,0.9498801916932907,0.2036741214057508,5.0
process_all,15191,15191,0,1.0,85963.99792640378,810558.3,2096325.0,3595376.3999999994,3595.3763999999996,52.306233954315054,1236,5000.0,0.918965176749391,1.0,5.0
adaptive,15191,15160,31,0.997959318017247,84732.90775065964,834845.4299999999,1505542.5,2922696.3,2922.6962999999996,96.42295514511873,1691,5000.0,0.8887862796833773,0.9111477572559367,10.0
event_triggered,15191,15024,167,0.9890066486735567,64723.35469249201,644008.9099999999,1314967.5,2074083.3000000003,2074.0833000000002,73.75632321618744,1468,5000.0,0.902622470713525,0.2036741214057508,10.0
process_all,15191,15191,0,1.0,171606.00365347904,1458089.0999999999,2096325.0,3595376.3999999994,3595.3763999999996,202.65775788295701,2469,5000.0,0.8377986965966691,1.0,10.0
adaptive,15191,15158,33,0.997827661115134,164659.1864428025,1142653.81,1467723.9000000001,2802683.6999999997,2802.6836999999996,379.70616176276553,3384,5000.0,0.7778730703259005,0.8222720675550864,20.0
event_triggered,15191,15024,167,0.9890066486735567,132248.43552316292,989612.99,1314967.5,2074083.3000000003,2074.0833000000002,301.0604366347178,2998,5000.0,0.8007854100106496,0.2036741214057508,20.0
process_all,15191,15191,0,1.0,374421.26308340457,1806399.7,2096621.4000000001,3595376.3999999994,3595.3763999999996,976.8312816799421,5443,5000.0,0.642814824567178,1.0,20.0
adaptive,15191,15158,33,0.997827661115134,494903.87518801953,1358711.89,1467903.9,2448402.0999999996,2448.4021,3725.716519329727,10626,5000.0,0.3026124818577649,0.4378545982319567,50.0
event_triggered,15191,15024,167,0.9890066486735567,392696.7541733227,1205668.5100000002,1315139.9,2074083.3000000003,2074.0833000000002,2870.9077476038337,9286,5000.0,0.38425186368477104,0.2036741214057508,50.0
process_all,15191,15191,0,1.0,1202746.4417813178,2023907.5,2096801.4,3595376.3999999994,3595.3763999999996,4799.951484431572,12074,5000.0,0.2055164241985386,1.0,50.0
adaptive,15191,15150,41,0.9973010335066815,821218.1520264026,1280070.3900000001,1315730.5,2208876.5,2208.8765,4965.4840924092405,12264,5000.0,0.19221122112211222,0.343036303630363,100.0
event_triggered,15191,15024,167,0.9890066486735567,818651.4512247072,1279266.53,1315199.9,2074083.3000000003,2074.0833000000002,4906.529486155485,12141,5000.0,0.19222577209797656,0.2036741214057508,100.0
process_all,15191,15191,0,1.0,1695249.2317095648,2149872.9,2151994.9999999995,3595376.3999999994,3595.3763999999996,7336.28036337305,14929,5000.0,0.060693831874136,1.0,100.0
