site_cam,minute,count
TW01-CT02,0,126
TW01-CT02,1,126
TW01-CT02,2,129
TW01-CT02,3,126
TW01-CT02,4,126
TW01-CT02,5,132
TW01-CT02,6,126
TW01-CT02,7,126
TW01-CT02,8,132
TW01-CT02,9,126
TW01-CT02,10,129
TW01-CT02,11,141
TW01-CT02,12,135
TW01-CT02,13,138
TW01-CT02,14,129
TW01-CT02,15,129
TW01-CT02,16,125
TW01-CT02,17,132
TW01-CT02,18,129
TW01-CT02,19,132
TW01-CT02,20,129
TW01-CT02,21,129
TW01-CT02,22,132
TW01-CT02,23,132
TW01-CT02,24,132
TW01-CT02,25,129
TW01-CT02,26,129
TW01-CT02,27,129
TW01-CT02,28,135
TW01-CT02,29,132
TW01-CT02,30,132
TW01-CT02,31,129
TW01-CT02,32,138
TW01-CT02,33,132
TW01-CT02,34,135
TW01-CT02,35,132
TW01-CT02,36,129
TW01-CT02,37,132
TW01-CT02,38,132
TW01-CT02,39,129
TW01-CT02,40,129
TW01-CT02,41,129
TW01-CT02,42,135
TW01-CT02,43,132
TW01-CT02,44,129
TW01-CT02,45,129
TW01-CT02,46,129
TW01-CT02,47,129
TW01-CT02,48,132
TW01-CT02,49,129
TW01-CT02,50,132
TW01-CT02,51,132
TW01-CT02,52,132
TW01-CT02,53,126
TW01-CT02,54,126
TW01-CT02,55,129
TW01-CT02,56,126
TW01-CT02,57,126
TW01-CT02,58,126
TW01-CT02,59,132
TW02-CT03,34,39
TW03-CT01,0,114
TW03-CT01,1,117
TW03-CT01,2,117
TW03-CT01,3,111
TW03-CT01,4,111
TW03-CT01,5,114
TW03-CT01,6,111
TW03-CT01,7,108
TW03-CT01,8,114
TW03-CT01,9,111
TW03-CT01,10,108
TW03-CT01,11,108
TW03-CT01,12,121
TW03-CT01,13,115
TW03-CT01,14,110
TW03-CT01,15,108
TW03-CT01,16,108
TW03-CT01,17,123
TW03-CT01,18,120
TW03-CT01,19,108
TW03-CT01,20,111
TW03-CT01,21,108
TW03-CT01,22,108
TW03-CT01,23,108
TW03-CT01,24,108
TW03-CT01,25,108
TW03-CT01,26,108
TW03-CT01,27,108
TW03-CT01,28,108
TW03-CT01,29,108
TW03-CT01,30,108
TW03-CT01,31,113
TW03-CT01,32,120
TW03-CT01,33,107
TW03-CT01,34,107
TW03-CT01,35,108
TW03-CT01,36,114
TW03-CT01,37,122
TW03-CT01,38,110
TW03-CT01,39,114
TW03-CT01,40,109
TW03-CT01,41,111
TW03-CT01,42,108
TW03-CT01,43,111
TW03-CT01,44,108
TW03-CT01,45,108
TW03-CT01,46,108
TW03-CT01,47,114
TW03-CT01,48,114
TW03-CT01,49,110
TW03-CT01,50,108
TW03-CT01,51,107
TW03-CT01,52,108
TW03-CT01,53,108
TW03-CT01,54,114
TW03-CT01,55,117
TW03-CT01,56,111
TW03-CT01,57,108
TW03-CT01,58,108
TW03-CT01,59,108
TW04-CT04,0,15
TW04-CT04,1,30
TW04-CT04,2,20
TW04-CT04,3,30
TW04-CT04,4,25
TW04-CT04,5,30
TW04-CT04,6,30
TW04-CT04,7,38
TW04-CT04,8,32
TW04-CT04,9,30
TW04-CT04,10,25
TW04-CT04,11,30
TW04-CT04,12,15
TW04-CT04,13,20
TW04-CT04,14,20
TW04-CT04,15,20
TW04-CT04,16,15
TW04-CT04,17,10
TW04-CT04,21,5
TW04-CT04,22,5
TW04-CT04,24,5
TW04-CT04,25,10
TW04-CT04,27,5
TW04-CT04,28,5
TW04-CT04,33,5
TW04-CT04,35,10
TW04-CT04,36,5
TW04-CT04,37,5
TW04-CT04,40,5
TW04-CT04,41,13
TW04-CT04,42,7
TW04-CT04,47,7
TW04-CT04,48,13
TW04-CT04,53,5
TW04-CT04,55,5
TW04-CT04,56,5
TW04-CT04,57,5
TW04-CT04,58,5
TW04-CT04,59,5
